channel,zone,zone_name,hold_ms_commanded,delivered_max_ms,dose_status,age_path_ms,fleet_max_ey_m,target_zone_max_ey_m,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,missed_E,missed_B,missed_F,missed_M,scheduler,profile,vehicles,cores,exec,duration_s,decimation_ms,git_sha
f,3,lane-change,40.0,42.3,ok,90.5,0.5536,0.5536,0,0,0,0,0,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
f,3,lane-change,60.0,62.3,ok,90.5,0.5596,0.5596,0,0,0,0,0,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
f,3,lane-change,80.0,82.3,ok,90.5,0.673,0.673,0,0,0,0,0,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
f,3,lane-change,100.0,102.3,ok,90.5,0.734,0.734,0,0,0,0,0,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
f,3,lane-change,120.0,122.3,ok,90.5,0.7409,0.7409,0,0,0,0,0,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
f,3,lane-change,140.0,142.3,ok,90.5,0.8538,0.8538,27,0,0,0,27,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
f,3,lane-change,160.0,162.3,ok,90.5,0.9108,0.9108,37,0,0,0,37,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
f,3,lane-change,200.0,202.3,ok,90.5,1.0356,1.0356,56,0,0,0,56,0,0,0,0,rm,15,1,3,worst,79,10,ef87ca8
