channel,zone,zone_name,hold_ms_commanded,delivered_max_ms,dose_status,age_path_ms,fleet_max_ey_m,target_zone_max_ey_m,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,missed_E,missed_B,missed_F,missed_M,scheduler,profile,vehicles,cores,exec,duration_s,decimation_ms,git_sha
f,3,lane-change,60.0,62.3,ok,90.5,0.5353,0.5353,0,0,0,0,0,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,80.0,82.3,ok,90.5,0.5814,0.5814,0,0,0,0,0,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,100.0,102.3,ok,90.5,0.6327,0.6327,0,0,0,0,0,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,120.0,122.3,ok,90.5,0.6783,0.6783,0,0,0,0,0,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,140.0,142.3,ok,90.5,0.7244,0.7244,0,0,0,0,0,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,160.0,162.3,ok,90.5,0.7686,0.7686,0,0,0,0,0,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,180.0,182.3,ok,90.5,0.8166,0.8166,13,0,0,0,13,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,200.0,202.3,ok,90.5,0.8467,0.8467,22,0,0,0,22,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
f,3,lane-change,240.0,242.3,ok,90.5,0.9592,0.9592,40,0,0,0,40,0,0,0,0,rm,12.5,1,3,worst,95,10,ef87ca8
