channel,zone,zone_name,hold_ms_commanded,delivered_max_ms,dose_status,age_path_ms,fleet_max_ey_m,target_zone_max_ey_m,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,missed_E,missed_B,missed_F,missed_M,scheduler,profile,vehicles,cores,exec,duration_s,decimation_ms,git_sha
f,3,lane-change,240.0,242.3,ok,90.5,0.7265,0.7265,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,260.0,262.3,ok,90.5,0.8077,0.8077,10,0,0,0,10,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,280.0,282.3,ok,90.5,0.8208,0.8208,19,0,0,0,19,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,300.0,302.3,ok,90.5,0.841,0.841,24,0,0,0,24,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,500.0,502.3,ok,90.5,1.2458,1.2458,274,57,0,0,217,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,800.0,802.3,ok,90.5,1.9067,1.9067,528,197,0,0,331,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,900.0,902.3,ok,90.5,1.8649,1.8649,524,161,0,0,363,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,1000.0,1002.3,ok,90.5,1.9684,1.9684,550,164,0,0,386,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,1100.0,1102.3,ok,90.5,2.4197,2.4197,676,265,0,0,411,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,3,lane-change,1200.0,1202.3,ok,90.5,2.6502,2.6502,704,290,0,0,414,0,0,0,0,rm,10,1,3,worst,120,10,188c255
